NOC_CODE,yhat,yhat_lower,yhat_upper
DOM,3.1920912618151753,-0.7832351878347413,7.105232472204346
MAR,0.9246986195179403,-2.674839471750881,4.8694105990626735
DMA,0.5125095022207127,-3.5365804964520136,4.222665993101909
PAK,0.6636494762401632,-3.3031321435816703,4.709158266149181
TUR,9.639010411561873,5.667077462064944,13.72611397004398
MEX,7.637915633251627,3.547137704923582,11.572221971094894
ARM,3.863753238446346,-0.1114940991760349,8.126406468836752
COL,4.235496792221339,0.4877014410105775,8.147391098936618
KGZ,7.524874679692358,3.4278583572657197,11.504380519008198
PRK,9.266773719461767,4.852859984851418,13.185937137037392
LTU,0.16128704812153316,-3.7978621778163943,4.136988150389828
IND,5.545634239130459,1.5048332270455667,9.597315230074987
MDA,3.4985871089563876,-0.33633143932594584,7.601928863254424
CYP,0.38220172085499726,-3.617118816235348,4.240184327104703
JOR,1.1372983535995633,-2.9313154082319857,5.340886056671243
PAN,1.2826744637649679,-2.3726503285890423,5.182127723141931
TJK,2.7385775274573163,-1.3393119332790495,6.48282309986572
ALB,2.4163082777490157,-1.0512903542090668,6.415612808187195
PUR,2.2190746163949093,-1.522029564407754,6.191543043654382
CIV,1.0592872198302867,-3.323295959966077,5.068255473598874
CPV,1.1088301281537003,-2.711774939322768,4.899249031006742
PER,0.43878002565719143,-3.3843314691072037,4.183443484605121
QAT,0.688025756323551,-3.193551844838345,4.503172981206315
SGP,0.4993694772205792,-3.2647230958229594,4.144309008196926
SVK,0.5094214787438389,-3.253285245382633,4.316178530479418
AFG,-0.11921278066593288,-4.067578238528451,3.7545327991994335
AIN,0.22673359704079488,-3.869815188715694,3.9095170633533645
ALG,0.4722665908097632,-3.2974998739164008,4.66630116365697
AND,-0.1437225227049339,-3.9561831873822353,3.7394348601152627
ANG,-0.05681794865536105,-3.923444498240573,3.9440382470825854
ANT,-0.12770583507939648,-3.9235818193373473,4.035382386794906
ARU,-0.09650841907411234,-3.763656634269635,4.184852360126404
ASA,-0.16739630549814777,-4.139576753169072,3.945148459823407
BAH,-0.006260008041390819,-3.87913507843971,3.999222303437621
BAN,-0.12018220186732265,-4.163601759436692,3.4306088280491216
BAR,-0.13369101175550568,-3.8033193531224896,3.8464982816212157
BDI,-0.08982074510782567,-3.9121985848846403,3.6678476890433522
BEN,-0.11683836488418464,-4.1527516953912516,4.045055928795031
BER,-0.08731286737047128,-3.7221967158832356,3.9117265771725838
BHU,-0.1438559846605436,-4.366978269259045,3.684042596620565
BIH,-0.0999857180128636,-3.9411188606659193,3.5025145705251424
BIZ,-0.17087360443689903,-3.837602785474599,3.514242972508426
BOL,-0.12616737854343185,-4.105548792469028,3.6864176665763018
BOT,-0.053607573627825644,-3.793351070644717,3.8087777412281065
BRN,0.005443421399604631,-4.065516456078562,3.7606216574833233
BRU,-0.1371683106942605,-4.282468648524149,4.05552028139231
BUR,-0.06377254653286357,-4.031115722168671,3.5550383511338737
CAF,-0.12031566382293946,-4.016198573585577,3.985729352848043
CAM,-0.1338244737111154,-3.8583997958059313,3.764686925656077
CAY,-0.10346301695161486,-4.145618499193606,3.945144445412779
CGO,-0.11697182683979435,-4.248373894018426,3.88816186198961
CHA,-0.13048063672797383,-4.059840132916297,4.096699585634661
CMR,-0.08410249234293943,-3.944955073609578,3.9329409186670845
COD,-0.08326653309715226,-3.9613672702707645,3.647411009318351
COK,-0.1398096503872246,-3.8581306966132267,3.8523003509134135
